№ участка;Адрес;Удаленность от м. Купчино, км;Статус сайта;Статус геокодирования
58;188760, Ленинградская область, г. Приозерск, ул. Красноармейская, д. 10;135.1;ok;fail:empty/empty|fallback_locality
59;188760, Ленинградская область, г. Приозерск, ул. Красноармейская, д. 10;135.1;ok;fail:empty/empty|fallback_locality
60;188730, Ленинградская область, Приозерский район, п. Сосново, ул. Механизаторов, д.11;81.4;ok;fallback:ok
61;188560, Ленинградская область, г. Сланцы, ул. Чкалова, д. 9;151.8;ok;fail:empty/empty|fallback_locality
62;188560, Ленинградская область, г. Сланцы улица Чкалова д. 9;151.8;ok;fail:empty/empty|fallback_locality
63;188544, Ленинградская область, г. Сосновый Бор, ул. Молодежная, д. 6/1;70.1;ok;fallback:ok
64;188544, Ленинградская область, гор. Сосновый Бор, ул. Молодежная, д. 6/1;73.1;ok;fail:empty/empty|fallback_locality
65;188544, Ленинградская область, г. Сосновый Бор, ул. Молодежная, д. 6/1, 2 этаж;70.1;ok;fallback:ok
66;187553, Ленинградская область, г. Тихвин, ул. Борисова, д. 2;177.3;ok;fail:empty/empty|fallback_locality
67;187553, Ленинградская область, г. Тихвин, ул. Борисова. д. 2;177.3;ok;fail:empty/empty|fallback_locality
68;187553, Ленинградская область, г. Тихвин, ул. Борисова, д. 2;177.3;ok;fail:empty/empty|fallback_locality
69;188678, Ленинградская область, Всеволожский район, г. Мурино, ул. Парковая, д. 1, лит. А, корп. 3;25.8;ok;fallback:ok
70;187051, Ленинградская область, г. Любань, пр. Мельникова, д. 15;72.2;ok;fallback:ok
71;187015, Ленинградская область, п. Красный бор, ул. Комсомольская, д. 10;256.8;ok;fail:empty/empty|fallback_locality
72;187026, Ленинградская область, г. Никольское, ул. Комсомольская, д. 12 А;26.9;ok;fallback:ok
73;187032, Ленинградская обл., Тосненский р-н., п. Тельмана д.9;18.1;ok;ok
74;187000, Ленинградская область, г. Тосно, ул. Ленина, д. 19;45.0;ok;fallback:ok
75;187000, Ленинградская область, г. Тосно, ул. Ленина, д. 19;45.0;ok;fallback:ok
76;188641, Ленинградская область, г. Всеволожск, ул. Приютинская, д. 13;23.3;ok;ok
77;188800, Ленинградская область, г. Выборг, ул. Титова, д. 2;133.6;ok;ok
78;188304, Ленинградская область, г. Гатчина, ул. Урицкого, д. 2;32.5;ok;fallback:ok
79;188480, Ленинградская область, г. Кингисепп, ул. Карла Маркса, д. 63;111.9;ok;fail:empty/empty|fallback_locality
80;187342, Ленинградская область, г. Кировск, ул. Магистральная, д. 48 Б;838.3;ok;fail:empty/empty|fallback_locality
81;188230, Ленинградская область, г. Луга, пр. Урицкого, д. 77 А;124.7;ok;fallback:ok
82;188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 103;26.5;ok;ok
83;188671, Ленинградская область, Всеволожский р-н, пос. Рахья, Ленинградское шос. , д. 23;38.6;ok;fallback:ok
84;188678, Ленинградская область, Всеволожский р-н, г. Мурино, ул. Парковая д. 1 лит. А корп. 3;25.6;ok;fallback:ok
85;198412, г. Санкт-Петербург, г. Ломоносов, Ораниенбаумский проспект, д. 39;21.3;ok;fail:empty/empty|fallback_locality
86;188693, Ленинградская область, Всеволожский район, город Кудрово , проспект Строителей, д. 25, стр. 2;10.9;ok;fallback:ok
87;188678, Ленинградская область, Всеволожский район, г. Мурино, ул. Парковая, д. 1, лит. А, корп. 2;25.8;ok;fallback:ok
